nombre,poblacion,superficie,continente
Islas Salomón,838645,28900,Oceanía
Islas Turcas y Caicos,46855,950,América
Islas Vírgenes (EE.UU.),103792,350,América
Islas Vírgenes Británicas,39732,150,América
Israel,10122800,22070,Asia
Italia,58915656,302070,Europa
Jamaica,2837077,10990,América
Japón,123366734,377969,Asia
Jordania,11520684,89318,Asia
Kazajstán,20843754,2724902,Asia
Kenya,57532493,591969,África
Kirguistán,7343064,199950,Asia
Kiribati,136488,810,Oceanía
Kuwait,4865298,17820,Asia
Lesotho,2363325,30360,África
Letonia,1847785,64590,Europa
Liberia,5731206,111370,África
Libia,7458555,1759540,África
Liechtenstein,41024,160,Europa
Lituania,2888774,65286,Europa
Luxemburgo,686970,2590,Europa
Líbano,5849421,10450,Asia
Macedonia del Norte,1820909,25710,Europa
Madagascar,32740678,587295,África
Malasia,35977838,330411,Asia
Malawi,22216120,118480,África
Maldivas,529676,300,Asia
Malta,579704,320,Europa
Malí,25198821,1240190,África
Mariana,43541,460,Oceanía
Marruecos,38430770,446550,África
Mauricio,1243741,2010,África
Mauritania,5315065,1030700,África
Micronesia (Estados Federados de),113683,700,Oceanía
Mongolia,3568978,1564120,Asia
Montenegro,623129,13810,Europa
Mozambique,35631653,799380,África
Myanmar,54850648,676590,Asia
México,131946900,1959142,América
Mónaco,38341,75,Europa
Namibia,3092816,824290,África
Nauru,12025,20,Oceanía
Nepal,29618118,147180,Asia
Nicaragua,7007502,130370,América
Nigeria,237527782,923770,África
Noruega,5610870,624500,Europa
Nueva Caledonia,295333,18580,Oceanía
Nueva Zelandia,5324700,267710,Oceanía
Níger,27917831,1267000,África
Omán,5494691,309500,Asia
Pakistán,255219554,796100,Asia
Palau,17663,460,Oceanía
Panamá,4571189,75320,América
Papua Nueva Guinea,10762817,462840,Oceanía
Paraguay,7013078,406752,América
Países Bajos,18087633,41540,Europa
Perú,34576665,1285220,América
Polinesia Francesa,282465,3471,Oceanía
Polonia,36435861,312720,Europa
Portugal,10804871,92230,Europa
Puerto Rico (US),3184835,8870,América
Qatar,2972215,11490,Asia
"Región Administrativa Especial de Macao, China",685900,33,Asia
Reino Unido,69487000,243610,Europa
República Centroafricana,5513282,622980,África
República Checa,10886878,78871,Europa
República Democrática Popular Lao,7873046,236800,Asia
República Dominicana,11520487,146839,América
República Eslovaca,5413813,49030,Europa
República Federal de Somalia,19654739,637660,África
República de Moldova,2360527,33850,Europa
República Árabe Siria,25620427,185180,Asia
Ribera Occidental y Gaza,5413596,6025,Asia
Rumania,19020271,238400,Europa
Rwanda,14569341,26340,África
Saint Kitts y Nevis,46922,260,América
Samoa,219306,2840,Oceanía
Samoa Americana,46029,200,Oceanía
San Marino,34109,60,Europa
San Vicente y las Granadinas,99924,390,América
Santa Lucía,180149,620,América
Santo Tomé y Príncipe,240254,960,África
Senegal,18931966,196710,África
Serbia,6549143,84990,Europa
Seychelles,122730,460,África
Sierra Leona,8819794,72300,África
Singapur,6111175,728,Asia
Sint Maarten (Dutch part),43923,34,América
Sri Lanka,21756000,65610,Asia
Sudáfrica,64747319,1219090,África
Sudán,51662147,1878000,África
Sudán del Sur,12188788,646883,África
Suecia,10596620,528860,Europa
Suiza,9092436,41291,Europa
Suriname,639850,163820,América
Tailandia,71619863,513115,Asia
Tanzanía,70545865,947300,África
Tayikistán,10786734,141379,Asia
Timor-Leste,1418517,14870,Asia
Togo,8591626,56790,África
Tonga,103742,750,Oceanía
Trinidad y Tobago,1367764,5130,América
Turkmenistán,7618847,491209,Asia
Turquía,85878556,785350,Asia
Tuvalu,9492,30,Oceanía
Túnez,12348573,163610,África
Ucrania,38980376,603550,Europa
Uganda,51384894,241550,África
Uruguay,3384688,176220,América
Uzbekistán,37053428,448924,Asia
Vanuatu,335169,12190,Oceanía
Venezuela,28516896,912050,América
Viet Nam,101598527,331340,Asia
"Yemen, Rep. del",41773878,527970,Asia
Zambia,21913874,752610,África
Zimbabwe,16950795,390760,África
